Tips,Day of Week,Hours Worked,Shift Start Time,Shift End Time,Dollar/Hour
63,Mon,8,7,15,7.875
58,Tue,8,7,15,7.25
28,Wed,6,10,16,4.666666667
32,Thu,6,10,16,5.333333333
34,Fri,7,9,16,4.857142857
30,Sat,7,9,16,4.285714286
26,Sun,7,9,16,3.714285714
69,Mon,8,7,15,8.625
56,Tue,8,7,15,7
25,Wed,6,10,16,4.166666667
24,Thu,6,10,16,4
31,Fri,7,9,16,4.428571429
37,Sat,7,9,16,5.285714286
29,Sun,7,9,16,4.142857143
58,Mon,8,7,15,7.25
50,Tue,8,7,15,6.25
29,Wed,6,10,16,4.833333333
30,Thu,6,10,16,5
35,Fri,7,9,16,5
26,Sat,7,9,16,3.714285714
22,Sun,7,9,16,3.142857143
70,Mon,8,7,15,8.75
62,Tue,8,7,15,7.75
33,Wed,6,10,16,5.5
20,Thu,6,10,16,3.333333333
23,Fri,7,9,16,3.285714286
29,Sat,7,9,16,4.142857143
27,Sun,7,9,16,3.857142857
71,Mon,8,7,15,8.875
62,Tue,8,7,15,7.75
30,Wed,6,10,16,5
35,Thu,6,10,16,5.833333333
32,Fri,7,9,16,4.571428571
29,Sat,7,9,16,4.142857143
26,Sun,7,9,16,3.714285714
49,Mon,8,7,15,6.125
57,Tue,8,7,15,7.125
38,Wed,6,10,16,6.333333333
34,Thu,6,10,16,5.666666667
30,Fri,7,9,16,4.285714286
31,Sat,7,9,16,4.428571429
34,Sun,7,9,16,4.857142857
40,Mon,8,7,15,5
58,Tue,8,7,15,7.25
29,Wed,6,10,16,4.833333333
29,Thu,6,10,16,4.833333333
29,Fri,7,9,16,4.142857143
30,Sat,7,9,16,4.285714286
31,Sun,7,9,16,4.428571429